,Ticker,Day_Change,Expiration,Call_Price,Call_Volume,Strike,Put_Price,Put_Volume
0,MSFT,0.28457286707164187,2020-06-05:4,4.6,4593,180.0,1.08,8520
1,MSFT,0.28457286707164187,2020-06-05:4,2.76,11365,182.5,2.0,4692
2,MSFT,0.28457286707164187,2020-06-05:4,1.53,15094,185.0,2.9,1825
3,MSFT,0.28457286707164187,2020-06-05:4,0.73,6638,187.5,4.38,435
4,MSFT,0.28457286707164187,2020-06-05:4,0.34,6128,190.0,6.75,68
5,MSFT,0.28457286707164187,2020-06-12:11,6.16,687,180.0,2.25,571
6,MSFT,0.28457286707164187,2020-06-12:11,4.1,945,182.5,2.88,359
7,MSFT,0.28457286707164187,2020-06-12:11,2.69,1799,185.0,3.95,181
8,MSFT,0.28457286707164187,2020-06-12:11,1.84,1923,187.5,5.3,36
9,MSFT,0.28457286707164187,2020-06-12:11,0.92,1264,190.0,7.82,13
10,MSFT,0.28457286707164187,2020-06-19:18,6.95,2224,180.0,2.89,1567
11,MSFT,0.28457286707164187,2020-06-19:18,5.3,1127,182.5,4.11,712
12,MSFT,0.28457286707164187,2020-06-19:18,3.71,3669,185.0,4.9,980
13,MSFT,0.28457286707164187,2020-06-19:18,2.68,842,187.5,6.15,228
14,MSFT,0.28457286707164187,2020-06-19:18,1.75,4806,190.0,8.2,41
15,MSFT,0.28457286707164187,2020-06-26:25,7.6,246,180.0,3.62,73
16,MSFT,0.28457286707164187,2020-06-26:25,6.06,331,182.5,4.6,56
17,MSFT,0.28457286707164187,2020-06-26:25,4.7,425,185.0,5.76,140
18,MSFT,0.28457286707164187,2020-06-26:25,3.45,461,187.5,7.77,2
19,MSFT,0.28457286707164187,2020-06-26:25,2.45,864,190.0,8.7,3
20,MSFT,0.28457286707164187,2020-07-02:31,8.4,126,180.0,4.4,463
21,MSFT,0.28457286707164187,2020-07-02:31,6.5,135,182.5,5.1,54
22,MSFT,0.28457286707164187,2020-07-02:31,5.3,147,185.0,7.15,17
23,MSFT,0.28457286707164187,2020-07-02:31,4.1,64,187.5,9.73,1
24,MSFT,0.28457286707164187,2020-07-02:31,2.89,129,190.0,11.3,1
25,MSFT,0.28457286707164187,2020-07-10:39,8.65,38,180.0,5.08,16
26,MSFT,0.28457286707164187,2020-07-10:39,7.46,63,182.5,6.28,15
27,MSFT,0.28457286707164187,2020-07-10:39,6.3,533,185.0,6.93,1
28,MSFT,0.28457286707164187,2020-07-10:39,4.85,21,187.5,9.87,0
29,MSFT,0.28457286707164187,2020-07-10:39,3.7,147,190.0,12.2,1
30,MSFT,0.28457286707164187,2020-07-17:46,13.3,131,175.0,4.24,1317
31,MSFT,0.28457286707164187,2020-07-17:46,9.8,1844,180.0,5.8,940
32,MSFT,0.28457286707164187,2020-07-17:46,6.6,2499,185.0,7.89,476
